Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
Humana Inc,KY,Health Plan,1823,11/9/2021,Hacking/IT Incident,Network Server,Yes
"Vitreo-Retinal Medical Group, Inc. d/b/a Retinal Consultants Medical Group",CA,Healthcare Provider,11603,11/9/2021,Hacking/IT Incident,Network Server,No
Association to Benefit Children,NY,Healthcare Provider,9142,11/5/2021,Hacking/IT Incident,Email,No
"Hermitage Eye Care, PLLC dba Dover Eye Care",TN,Healthcare Provider,11672,11/5/2021,Hacking/IT Incident,Network Server,Yes
Envision Home Health and Hospice,UT,Healthcare Provider,5381,11/5/2021,Unauthorized Access/Disclosure,Email,No
Humana Inc,KY,Health Plan,1965,11/4/2021,Hacking/IT Incident,Network Server,Yes
JEV Plastic Surgery & Medical Aesthetics,MD,Healthcare Provider,1620,11/3/2021,Hacking/IT Incident,Network Server,No
"Baywood Medical Associates, PLC dba Desert Pain Institute",AZ,Healthcare Provider,44850,11/3/2021,Hacking/IT Incident,Network Server,No
Luminis Health Anne Arundel Medical Center,MD,Healthcare Provider,824450,11/2/2021,Hacking/IT Incident,Email,No
"Doctors Health Group, Inc.",AR,Healthcare Provider,47660,11/2/2021,Hacking/IT Incident,Network Server,Yes
Pottawatomie County Health Department,KS,Healthcare Provider,6000,10/30/2021,Hacking/IT Incident,Network Server,No
Nationwide Laboratory Services,FL,Healthcare Provider,33437,10/28/2021,Hacking/IT Incident,Network Server,No
"Anthem, Inc.",IN,Business Associate,5505,10/27/2021,Theft,"Other Portable Electronic Device, Paper/Films",Yes
California Physicians' Services d/b/a Blue Shield of California,CA,Health Plan,2841,10/27/2021,Hacking/IT Incident,Network Server,Yes
Blue Cross of California,IN,Health Plan,672,10/27/2021,Hacking/IT Incident,Network Server,Yes
"Nutan K. Parikh, M.D., Ltd., A Professional Corporation dba Las Vegas Cancer Center",NV,Healthcare Provider,1300,10/26/2021,Hacking/IT Incident,Network Server,No
Foundation for Medical Care of Tulare and Kings Counties,CA,Business Associate,1835,10/26/2021,Theft,Other Portable Electronic Device,Yes
Painters District Council No. 30 Health and Welfare Fund,IL,Health Plan,2157,10/25/2021,Hacking/IT Incident,Email,No
Bryan Health,NE,Healthcare Provider,2753,10/25/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No
Lavaca Medical Center,TX,Healthcare Provider,48705,10/21/2021,Hacking/IT Incident,Network Server,No
Family of Woodstock,NY,Healthcare Provider,8214,10/17/2021,Hacking/IT Incident,Network Server,No
"Limeade, Inc.",WA,Business Associate,2287,10/15/2021,Unauthorized Access/Disclosure,"Desktop Computer, Other Portable Electronic Device",Yes
Anthem Inc.,IN,Health Plan,2023,10/15/2021,Hacking/IT Incident,Network Server,Yes
Jackson County Health Department,IL,Healthcare Provider,1000,10/13/2021,Unauthorized Access/Disclosure,Email,No
"Clinical Pathology Diagnostics, LLC",CT,Healthcare Provider,2500,10/12/2021,Hacking/IT Incident,Email,Yes
Humana Inc,KY,Health Plan,4424,10/12/2021,Hacking/IT Incident,Network Server,Yes
Orange County Health Authority,CA,Health Plan,4732,10/12/2021,Unauthorized Access/Disclosure,Paper/Films,No
"ReproSource Fertility Diagnostics, Inc.",MA,Healthcare Provider,253774,10/8/2021,Hacking/IT Incident,Network Server,No
Drs. Kelley & McDowell PA,SC,Healthcare Provider,6204,10/6/2021,Hacking/IT Incident,Network Server,Yes
Humana Inc,KY,Health Plan,948,9/28/2021,Unauthorized Access/Disclosure,Paper/Films,Yes
"Lakewood Manor Baptist Retirement Community, Inc. d/b/a Lakewood ",VA,Healthcare Provider,1205,9/27/2021,Hacking/IT Incident,Email,No
Zenith American Solutions,WA,Business Associate,1907,9/24/2021,Unauthorized Access/Disclosure,Paper/Films,Yes
Epilepsy Foundation of Texas ,TX,Healthcare Provider,2824,9/24/2021,Hacking/IT Incident,Email,No
elizabeth ortof MD,NY,Healthcare Provider,5000,9/23/2021,Theft,Laptop,No
GYN Emergent Care Center,CA,Healthcare Provider,5080,9/21/2021,Loss,Paper/Films,No
Georgia Department of Human Services ,GA,Healthcare Clearing House,15938,9/17/2021,Hacking/IT Incident,Network Server,Yes
"Horizon House, Inc.",PA,Healthcare Provider,27823,9/17/2021,Hacking/IT Incident,Network Server,No
"Orlick & Kasper, MDs, PA",FL,Healthcare Provider,30000,9/17/2021,Theft,"Desktop Computer, Electronic Medical Record, Other Portable Electronic Device",No
Mankato Clinic,MN,Healthcare Provider,535,9/16/2021,Unauthorized Access/Disclosure,Email,No
Samaritan Center of Puget Sound,WA,Healthcare Provider,20866,9/15/2021,Theft,"Desktop Computer, Network Server",No
Directions for Living,FL,Healthcare Provider,19494,9/15/2021,Hacking/IT Incident,Network Server,No
Multnomah County ,OR,Healthcare Provider,709,9/14/2021,Theft,Paper/Films,No
Eastern Los Angeles Regional Center,CA,Business Associate,5441,9/13/2021,Hacking/IT Incident,Email,Yes
Abeo Solutions Inc. d/b/a Crystal Practice Management ,TX,Business Associate,21112,9/13/2021,Hacking/IT Incident,Network Server,Yes
Buddhist Tzu Chi Medical Foundation,CA,Healthcare Provider,18968,9/13/2021,Hacking/IT Incident,Network Server,No
"Rehabilitation Support Services, Inc.",NY,Healthcare Provider,23907,9/10/2021,Hacking/IT Incident,Network Server,No
CVS Pharmacy,RI,Healthcare Provider,826,9/10/2021,Theft,Paper/Films,No
"Pathology Consultants of New London, P.C.",CT,Healthcare Provider,835,9/8/2021,Hacking/IT Incident,Email,Yes
"Resource Anesthesiology Association of California, a Medical Corporation",CA,Healthcare Provider,2700,9/5/2021,Theft,"Laptop, Paper/Films",No
"Asarco Health, Dental, Vision, Flexible Spending, Non-Union Employee Benefits, and Retiree Medical Plans",AZ,Health Plan,28000,9/3/2021,Hacking/IT Incident,Network Server,No
"Eastern Connecticut Pathology Consultants, P.C.",CT,Healthcare Provider,5978,9/3/2021,Hacking/IT Incident,Email,Yes
California Department of State Hospitals - Coalinga,CA,Healthcare Provider,1738,9/3/2021,Unauthorized Access/Disclosure,Email,No
"Ijaola, LLC d/b/a Mercy Grace Private Practice ",AZ,Healthcare Provider,4450,8/30/2021,Hacking/IT Incident,Email,No
"Healthpointe Medical Group, Inc.",CA,Healthcare Provider,11000,8/30/2021,Hacking/IT Incident,Network Server,No
Beaumont Health,MI,Healthcare Provider,1568,8/27/2021,Hacking/IT Incident,Network Server,Yes
Medical Business Management,AL,Business Associate,1750,8/25/2021,Hacking/IT Incident,Network Server,Yes
LifeLong Medical Care,CA,Healthcare Provider,115448,8/25/2021,Hacking/IT Incident,Network Server,Yes
San Andreas Regional Center,CA,Business Associate,57244,8/25/2021,Hacking/IT Incident,Network Server,Yes
The Wedge Medical Center,PA,Healthcare Provider,25491,8/24/2021,Hacking/IT Incident,Network Server,No
South Florida Community Care Network LLC d/b/a Community Care Plan,FL,Health Plan,48344,8/20/2021,Unauthorized Access/Disclosure,Email,No
"Central Utah Clinic, P.C. dba Revere Health",UT,Healthcare Provider,12433,8/19/2021,Hacking/IT Incident,Email,No
Nashua Regional Cancer Center dba Radiation Center of Greater Nashua,NH,Healthcare Provider,520,8/17/2021,Hacking/IT Incident,Network Server,Yes
Metro Infectious Disease Consultants,IL,Healthcare Provider,171740,8/16/2021,Hacking/IT Incident,Email,No
McCoy Consulting Services LLC,WV,Business Associate,5665,8/13/2021,Hacking/IT Incident,Email,Yes
"Fairfax Medical Facilities, Inc.",OK,Healthcare Provider,4970,8/13/2021,Hacking/IT Incident,Email,No
North Country Healthcare,NH,Healthcare Provider,3550,8/12/2021,Hacking/IT Incident,Network Server,Yes
"Frisco Fertility Center, PLLC dba Dallas IVF",TX,Healthcare Provider,552,8/12/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No
Children's Hospital of The King's Daughters,VA,Healthcare Provider,914,8/11/2021,Hacking/IT Incident,Email,No
UNM Health,NM,Healthcare Provider,1228093,8/3/2021,Hacking/IT Incident,Network Server,No
Hospice of the Piedmont,VA,Healthcare Provider,10682,8/2/2021,Hacking/IT Incident,Email,No
Valley Physical Medicine & Rehabilitation,AZ,Health Plan,1866,8/2/2021,Unauthorized Access/Disclosure,Email,No
UF Health Central Florida,FL,Healthcare Provider,700934,7/30/2021,Hacking/IT Incident,Network Server,No
Renaissance Life & Health Insurance Company of America,IN,Health Plan,4727,7/30/2021,Hacking/IT Incident,Network Server,Yes
"Woods Super Markets, Inc.",MO,Healthcare Provider,785,7/30/2021,Hacking/IT Incident,Network Server,Yes
Mount St. Mary's Hospital,NY,Healthcare Provider,6538,7/30/2021,Hacking/IT Incident,Network Server,Yes
Sisters of Charity Hospital,NY,Healthcare Provider,10464,7/30/2021,Hacking/IT Incident,Network Server,Yes
"Eau Claire Cooperative Health, Inc. DBA Cooperative Health",SC,Healthcare Provider,3755,7/29/2021,Hacking/IT Incident,Other,Yes
K&B Surgical Center LLC,CA,Healthcare Provider,14774,7/28/2021,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Network Server",No
Harris County,TX,Healthcare Provider,26000,7/27/2021,Unauthorized Access/Disclosure,Network Server,No
"Yale New Haven Health Services Corporation (""YNHHS"")",CT,Healthcare Provider,14603,7/23/2021,Hacking/IT Incident,Network Server,Yes
Mobile County Commission ,AL,Business Associate,1337,7/23/2021,Hacking/IT Incident,Network Server,Yes
Ascension Via Christi ACE,KS,Healthcare Provider,1977,7/23/2021,Hacking/IT Incident,Email,Yes
Texas Health Presbyterian Hospital Flower Mound,TX,Healthcare Provider,781,7/20/2021,Unauthorized Access/Disclosure,Email,No
"Orlando Family Physicians, LLC",FL,Healthcare Provider,447426,7/20/2021,Hacking/IT Incident,Email,No
The University of North Carolina Hospitals,NC,Healthcare Provider,8114,7/19/2021,Hacking/IT Incident,Email,No
Southwest Nebraska Public Health Department,NE,Healthcare Provider,12968,7/19/2021,Unauthorized Access/Disclosure,Desktop Computer,No
The Cancer Center of Greenwood Leflore Hospital,MS,Healthcare Provider,2714,7/19/2021,Hacking/IT Incident,Network Server,Yes
"CleanSlate Centers, Inc.",TN,Healthcare Provider,890,7/16/2021,Hacking/IT Incident,Email,No
Intermountain Healthcare,UT,Healthcare Provider,28628,7/16/2021,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes
McLaren Health Care Corporation,MI,Healthcare Provider,64600,7/16/2021,Hacking/IT Incident,Network Server,Yes
Sierra Nevada Primary Care Physicians,CA,Healthcare Provider,1717,7/16/2021,Theft,Paper/Films,No
Advocate Aurora Health ,WI,Healthcare Provider,68707,7/16/2021,Hacking/IT Incident,Network Server,Yes
Guidehouse,VA,Business Associate,91331,7/15/2021,Hacking/IT Incident,Network Server,Yes
City of Lincoln Aging Partners,NE,Business Associate,1513,7/14/2021,Hacking/IT Incident,Email,Yes
"Synergic Healthcare Solutions, Inc. dba TGH Urgent Care powered by Fast Track",FL,Business Associate,558,7/14/2021,Theft,Other,Yes
Aetna ACE,CT,Health Plan,8664,7/14/2021,Hacking/IT Incident,Email,No
Nystrom & Associates,MN,Healthcare Provider,985,7/13/2021,Hacking/IT Incident,Email,No
On Lok Senior Health Services,CA,Health Plan,1643,7/13/2021,Hacking/IT Incident,Network Server,No
The George Washington University Medical Faculty Associates ,DC,Healthcare Provider,576,7/13/2021,Unauthorized Access/Disclosure,Email,No
King County Public Hospital District No. 2 d/b/a EvergreenHealth,WA,Healthcare Provider,22579,7/13/2021,Hacking/IT Incident,Network Server,Yes
"Oklahoma Heart Hospital, LLC",OK,Healthcare Provider,1038,7/12/2021,Unauthorized Access/Disclosure,Paper/Films,No
"CSI Financial Services, LLC dba ClearBalance",CA,Business Associate,3191,7/10/2021,Hacking/IT Incident,Email,Yes
Saint Peter's University Hospital,NJ,Healthcare Provider,585,7/9/2021,Hacking/IT Incident,Network Server,Yes
Oscar Insurance Company of Florida,FL,Health Plan,516,7/8/2021,Hacking/IT Incident,Other,No
CNA Financial Corporation,IL,Health Plan,5095,7/8/2021,Hacking/IT Incident,Network Server,No
"Forefront Dermatology, S.C. ",WI,Healthcare Provider,2413553,7/8/2021,Hacking/IT Incident,Network Server,Yes
Florida Heart Associates,FL,Healthcare Provider,45148,7/7/2021,Hacking/IT Incident,Network Server,No
Triangle Women's Center,NC,Healthcare Provider,978,7/7/2021,Unauthorized Access/Disclosure,Email,No
"University of Maryland, Baltimore ",MD,Business Associate,37263,7/2/2021,Hacking/IT Incident,Network Server,Yes
Cook County Health,IL,Health Plan,898,7/2/2021,Unauthorized Access/Disclosure,Paper/Films,Yes
Florida Blue ,FL,Health Plan,32749,7/1/2021,Hacking/IT Incident,Network Server,No
NYC Health + Hospitals,NY,Healthcare Provider,43727,6/30/2021,Hacking/IT Incident,Network Server,Yes
"Francisco J. Pabalan MD, INC",CA,Healthcare Provider,50000,6/30/2021,Hacking/IT Incident,Network Server,No
Penn Foundation,PA,Healthcare Provider,768,6/29/2021,Hacking/IT Incident,Network Server,No
Ankle and Foot Physicians and Surgeons PLLC,WA,Healthcare Provider,5244,6/28/2021,Hacking/IT Incident,Network Server,No
Dental Center of Westport Group LLC,CT,Healthcare Provider,2175,6/28/2021,Hacking/IT Incident,Email,No
"Fairbanks Cancer Care Physicians, P.C.",AK,Healthcare Provider,2426,6/28/2021,Hacking/IT Incident,Network Server,Yes
"The Recovery Project, LLC",MI,Healthcare Provider,1103,6/28/2021,Hacking/IT Incident,Email,No
CVS Caremark,RI,Business Associate,3064,6/28/2021,Unauthorized Access/Disclosure,Paper/Films,Yes
Carle Cancer Institute Normal,IL,Healthcare Provider,8066,6/25/2021,Hacking/IT Incident,Network Server,Yes
Physicians Dialysis ,FL,Healthcare Provider,1998,6/25/2021,Hacking/IT Incident,Network Server,No
Northwestern Memorial HealthCare,IL,Healthcare Provider,201197,6/25/2021,Hacking/IT Incident,Network Server,Yes
John Muir Physician Network,CA,Healthcare Provider,1081,6/24/2021,Unauthorized Access/Disclosure,Email,No
"Mississippi Center for Advanced Medicine, PC",MS,Healthcare Provider,8908,6/23/2021,Hacking/IT Incident,Network Server,No
Tiburcio Vasquez Health Center Inc.,CA,Healthcare Provider,2042,6/22/2021,Hacking/IT Incident,Network Server,Yes
United Neighborhood Health Services d/b/a Neighborhood Health,TN,Healthcare Provider,1519,6/22/2021,Hacking/IT Incident,Network Server,Yes
Hawaii Independent Physicians Association,HI,Business Associate,18770,6/22/2021,Hacking/IT Incident,Email,Yes
Renown Health,NV,Healthcare Provider,65181,6/22/2021,Hacking/IT Incident,Network Server,Yes
Jawonio,NY,Healthcare Provider,13313,6/21/2021,Hacking/IT Incident,Email,No
"Hosparus, Inc. dba Care Guide Partners Inc.",KY,Healthcare Provider,1545,6/21/2021,Hacking/IT Incident,Network Server,Yes
"Eye Consultants of Atlanta / Piedmont System Ambulatory Surgery Center, LLC",GA,Healthcare Provider,2662,6/19/2021,Improper Disposal,Paper/Films,No
Refresh Mental Health d/b/a Springfield Psychological,PA,Healthcare Provider,948,6/18/2021,Unauthorized Access/Disclosure,Email,No
"Charles E. Jones DDS PC, DBA Jones Family Dental",OR,Healthcare Provider,6493,6/18/2021,Hacking/IT Incident,Network Server,No
Walmart Inc.,AR,Healthcare Provider,14532,6/18/2021,Loss,Paper/Films,No
"Prominence Health Plan	",NV,Health Plan,45380,6/18/2021,Hacking/IT Incident,Network Server,No
Singing River Health System,MS,Healthcare Provider,3543,6/17/2021,Hacking/IT Incident,Network Server,Yes
"Little Hill Foundation for the Rehabilitation of Alcoholics, Inc. d/b/a Alina Lodge",NJ,Healthcare Provider,2565,6/16/2021,Hacking/IT Incident,Network Server,Yes
"Reproductive Biology Associates, LLC and its affiliate My Egg Bank, LLC",GA,Healthcare Provider,38000,6/15/2021,Hacking/IT Incident,Network Server,No
"St. Charles Health System, Inc.",OR,Healthcare Provider,4687,6/14/2021,Hacking/IT Incident,Network Server,Yes
Neighborhood Healthcare Inc. d/b/a Neighborhood Family Practice,OH,Healthcare Provider,6156,6/11/2021,Hacking/IT Incident,"Network Server, Other",Yes
"Care Inns of Texas, Ltd",TX,Business Associate,1300,6/11/2021,Hacking/IT Incident,Email,Yes
Cancer Care Center,TN,Healthcare Provider,17809,6/9/2021,Hacking/IT Incident,Electronic Medical Record,Yes
Epic Care,CA,Healthcare Provider,9000,6/9/2021,Hacking/IT Incident,Electronic Medical Record,Yes
Minnesota Community Care,MN,Healthcare Provider,64855,6/8/2021,Hacking/IT Incident,Network Server,Yes
Providence Health Plan,OR,Health Plan,5509,6/7/2021,Unauthorized Access/Disclosure,Email,No
South Texas Health System,TX,Healthcare Provider,6761,6/7/2021,Unauthorized Access/Disclosure,Email,No
Pennsylvania Health & Wellness,PA,Health Plan,1325,6/7/2021,Hacking/IT Incident,Network Server,Yes
"UofL Health, Inc.",KY,Healthcare Provider,42465,6/7/2021,Unauthorized Access/Disclosure,Email,No
"Discovery Practice Management, Inc.",CA,Business Associate,12859,6/5/2021,Hacking/IT Incident,Email,Yes
UW Medicine,WA,Healthcare Provider,18389,6/4/2021,Hacking/IT Incident,Network Server,Yes
San Juan Regional Medical Center,NM,Healthcare Provider,325660,6/4/2021,Hacking/IT Incident,Network Server,No
"Pediatrix Cardiology of Washington, P.C. d/b/a NorthWest Congenital Heart Care",WA,Healthcare Provider,1166,6/4/2021,Theft,Other Portable Electronic Device,No
"Cancer Centers of Southwest Oklahoma, LLC",OK,Healthcare Provider,8000,6/4/2021,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes
Absolute Total Care,SC,Health Plan,1286,6/4/2021,Hacking/IT Incident,Network Server,Yes
Moses Lake Community Health Center,WA,Healthcare Provider,1190,6/2/2021,Hacking/IT Incident,Network Server,Yes
"Temple University Hospital, Inc. ",PA,Healthcare Provider,17041,6/2/2021,Hacking/IT Incident,Network Server,Yes
"Spire Power Solutions, L.P.",GA,Health Plan,771,6/2/2021,Hacking/IT Incident,Email,Yes
Hill Country Community Clinic dba Hill Country Health and Wellness Center,CA,Healthcare Provider,2658,6/1/2021,Hacking/IT Incident,Network Server,Yes
Tri-County Family Medicine,NY,Healthcare Provider,1438,6/1/2021,Hacking/IT Incident,Network Server,Yes
Superior HealthPlan,TX,Health Plan,2781,6/1/2021,Hacking/IT Incident,Network Server,Yes
Jones Memorial Hospital,NY,Healthcare Provider,8962,6/1/2021,Hacking/IT Incident,Network Server,Yes
Wirt County Health Services Association d/b/a Coplin Health Systems,WV,Healthcare Provider,2164,5/29/2021,Hacking/IT Incident,Network Server,Yes
Hoboken Radiology LLC,NJ,Healthcare Provider,80000,5/28/2021,Hacking/IT Incident,Network Server,No
Monroe County Health Center ,WV,Healthcare Provider,757,5/28/2021,Hacking/IT Incident,Network Server,Yes
"Williamson Health and Wellness Center, Inc.",WV,Healthcare Provider,1688,5/28/2021,Hacking/IT Incident,Network Server,Yes
"WomenCare, Inc. d/b/a FamilyCare Health Center",WV,Healthcare Provider,9584,5/28/2021,Hacking/IT Incident,Network Server,Yes
Stanford University School of Medicine,CA,Healthcare Provider,2063,5/28/2021,Hacking/IT Incident,Network Server,No
Arkansas Health and Wellness Health Plan,AR,Health Plan,3627,5/27/2021,Hacking/IT Incident,Network Server,Yes
State of TN Finance & Administration,TN,Health Plan,947,5/27/2021,Unauthorized Access/Disclosure,Email,No
Adirondack Medical Center d/b/a Adirondack Health,NY,Healthcare Provider,877,5/27/2021,Hacking/IT Incident,Network Server,Yes
Dean Health Servicing Company,WI,Business Associate,1025,5/26/2021,Hacking/IT Incident,Email,Yes
Aetna ACE,CT,Health Plan,562,5/26/2021,Unauthorized Access/Disclosure,Paper/Films,No
TidalHealth Peninsula Regional,MD,Healthcare Provider,4070,5/26/2021,Hacking/IT Incident,Network Server,Yes
